QA,Tactic,a,b,c,d,n,n_series_1,n_series_2,confidence,logRR,phi,p_value,w_p,logRR_norm,phi_norm,Score_default,Score_minus_conf
Resiliency,Normalization,3,2,7,208,220,10,5,0.37587494422173906,2.913902255306359,0.4059905786402303,0.0006527018206732153,1.0,0.8970588235294118,0.4059905786402303,0.24489181067934235,0.6515247010848211
Resiliency,Failure prevention or mitigation,3,3,7,207,220,10,6,0.4033339960380281,2.7269186854065928,0.3653920476209348,0.0012736940676038682,0.9649782913227737,0.8771929824561403,0.3653920476209348,0.24181235910850873,0.5995337895735167
Capacity,Sensor or input data fusion,4,3,20,193,220,24,7,0.5785688077344482,1.8059441042200113,0.26884843663287644,0.0031084912106353513,0.8358167854255037,0.7177419354838709,0.26884843663287644,0.23854646320919026,0.4123043966771856
Flexibility,Containerization,3,2,5,210,220,8,5,0.3440278999511197,3.250374491927572,0.4591710867206369,0.00030892669145860695,1.0,0.9253731343283582,0.4591710867206369,0.23816092037847233,0.6922721105244976
Modifiability,Failure prevention or mitigation,3,3,3,211,220,6,6,0.3296799539643607,3.574216545793796,0.48598130841121495,0.0002214457541717784,1.0,0.9454545454545454,0.48598130841121495,0.2359578532026996,0.7157179269328802
Fault tolerance,Normalization,3,2,10,205,220,13,5,0.4157836193036373,2.5572273113676265,0.34982906129650165,0.0015227296024889541,0.9391257364394875,0.8561151079136691,0.34982906129650165,0.2354443776891111,0.5662666030072038
Modularity,Failure prevention or mitigation,3,3,2,212,220,5,6,0.30590634059779964,3.979681653901961,0.5362333313137327,0.00011188998568745355,1.0,0.963302752293578,0.5362333313137327,0.2293587979653343,0.7497680418036554
Interoperability,Multitask Scheduling,3,1,5,211,220,8,4,0.31416871149888526,3.4781584227982836,0.5187879123239526,0.00012574921581801304,1.0,0.9401197604790419,0.5187879123239526,0.22917157188017706,0.7294538364014973
Scalability,Sensor or input data fusion,3,4,1,212,220,4,7,0.29725897566229753,4.513994305322221,0.5568284099549837,7.886967228914062e-05,1.0,0.978328173374613,0.5568284099549837,0.2281695367208942,0.7675782916647984
Portability,Containerization,3,2,3,212,220,6,5,0.30590634059779964,3.7612001156935624,0.5362333313137327,0.00011188998568745355,1.0,0.9545454545454546,0.5362333313137327,0.22801934151150738,0.7453893929295936
Modifiability,Deployment pipeline creation,3,2,3,212,220,6,5,0.30590634059779964,3.7612001156935624,0.5362333313137327,0.00011188998568745355,1.0,0.9545454545454546,0.5362333313137327,0.22801934151150738,0.7453893929295936
Modularity,Containerization,3,2,2,213,220,5,5,0.28346868942621073,4.1666652238017265,0.5906976744186047,5.633694270601517e-05,1.0,0.9694656488549619,0.5906976744186047,0.22112872626959973,0.7800816616367833
Availability,Failure prevention or mitigation,3,3,1,213,220,4,6,0.27862677921159384,4.672828834461907,0.6038342355384525,4.5226334109727505e-05,1.0,0.9814814814814815,0.6038342355384525,0.2208557061333914,0.7926578585099671
Reusability,Failure prevention or mitigation,3,3,1,213,220,4,6,0.27862677921159384,4.672828834461907,0.6038342355384525,4.5226334109727505e-05,1.0,0.9814814814814815,0.6038342355384525,0.2208557061333914,0.7926578585099671
Modifiability,Event-based processing,3,1,3,213,220,6,4,0.27862677921159384,3.9889840465642745,0.6038342355384525,4.5226334109727505e-05,1.0,0.9636363636363636,0.6038342355384525,0.2183696422784731,0.7837352995874081
Reusability,Containerization,3,2,1,214,220,4,5,0.25780435421065095,4.859812404361672,0.6640776601223364,2.2692142027115894e-05,1.0,0.9846153846153847,0.6640776601223364,0.21252012284510002,0.8243465223688605
Reusability,Deployment pipeline creation,3,2,1,214,220,4,5,0.25780435421065095,4.859812404361672,0.6640776601223364,2.2692142027115894e-05,1.0,0.9846153846153847,0.6640776601223364,0.21252012284510002,0.8243465223688605
Availability,Modular system design,3,2,1,214,220,4,5,0.25780435421065095,4.859812404361672,0.6640776601223364,2.2692142027115894e-05,1.0,0.9846153846153847,0.6640776601223364,0.21252012284510002,0.8243465223688605
Modularity,Event-based processing,3,1,2,214,220,5,4,0.25780435421065095,4.394449154672439,0.6640776601223364,2.2692142027115894e-05,1.0,0.975609756097561,0.6640776601223364,0.21135927772295074,0.8198437081099487
Time behaviour,Closed-loop learning,6,0,81,133,220,87,6,0.7819769790701556,0.9715268603494128,0.20703078683313042,0.0034350465455963964,0.8213557912612813,0.4508474576271187,0.20703078683313042,0.21127145375464004,0.2701760530161153
Time behaviour,Tensor or matrix decomposition,6,0,81,133,220,87,6,0.7819769790701556,0.9715268603494128,0.20703078683313042,0.0034350465455963964,0.8213557912612813,0.4508474576271187,0.20703078683313042,0.21127145375464004,0.2701760530161153
Modifiability,Multi threading,3,0,3,214,220,6,3,0.24636168355623522,4.28128506487235,0.702201935061195,1.1425045985810093e-05,1.0,0.9727272727272728,0.702201935061195,0.20631918973413912,0.8374646038942339
Modifiability,Separation of configuration and code,3,0,3,214,220,6,3,0.24636168355623522,4.28128506487235,0.702201935061195,1.1425045985810093e-05,1.0,0.9727272727272728,0.702201935061195,0.20631918973413912,0.8374646038942339
Modifiability,Lazy loading,3,0,3,214,220,6,3,0.24636168355623522,4.28128506487235,0.702201935061195,1.1425045985810093e-05,1.0,0.9727272727272728,0.702201935061195,0.20631918973413912,0.8374646038942339
Modifiability,Separation of concerns,3,0,3,214,220,6,3,0.24636168355623522,4.28128506487235,0.702201935061195,1.1425045985810093e-05,1.0,0.9727272727272728,0.702201935061195,0.20631918973413912,0.8374646038942339
Modifiability,Event documentation,3,0,3,214,220,6,3,0.24636168355623522,4.28128506487235,0.702201935061195,1.1425045985810093e-05,1.0,0.9727272727272728,0.702201935061195,0.20631918973413912,0.8374646038942339
Modifiability,Metric documentation,3,0,3,214,220,6,3,0.24636168355623522,4.28128506487235,0.702201935061195,1.1425045985810093e-05,1.0,0.9727272727272728,0.702201935061195,0.20631918973413912,0.8374646038942339
Modifiability,State serialization,3,0,3,214,220,6,3,0.24636168355623522,4.28128506487235,0.702201935061195,1.1425045985810093e-05,1.0,0.9727272727272728,0.702201935061195,0.20631918973413912,0.8374646038942339
Functional adaptability,Few-shot learning,3,1,20,196,220,23,4,0.4724144270085936,2.0918640616783932,0.28707437857098134,0.0037670219364568432,0.8080006169223847,0.7802197802197802,0.28707437857098134,0.20369903955152602,0.4311871693702965
Availability,Event-based processing,3,1,1,215,220,4,4,0.2340716616353513,5.087596335232384,0.7453703703703703,9.108446799747218e-06,1.0,0.9877300613496933,0.7453703703703703,0.20283484891683,0.8665502158600318
Reusability,Event-based processing,3,1,1,215,220,4,4,0.2340716616353513,5.087596335232384,0.7453703703703703,9.108446799747218e-06,1.0,0.9877300613496933,0.7453703703703703,0.20283484891683,0.8665502158600318
Modularity,Metric documentation,3,0,2,215,220,5,3,0.22755841388363107,4.686750172980514,0.7710188363995716,5.7125229929050466e-06,1.0,0.9817351598173516,0.7710188363995716,0.19942695965365947,0.8763769981084616
Modularity,Separation of concerns,3,0,2,215,220,5,3,0.22755841388363107,4.686750172980514,0.7710188363995716,5.7125229929050466e-06,1.0,0.9817351598173516,0.7710188363995716,0.19942695965365947,0.8763769981084616
Modularity,State serialization,3,0,2,215,220,5,3,0.22755841388363107,4.686750172980514,0.7710188363995716,5.7125229929050466e-06,1.0,0.9817351598173516,0.7710188363995716,0.19942695965365947,0.8763769981084616
Modularity,Separation of configuration and code,3,0,2,215,220,5,3,0.22755841388363107,4.686750172980514,0.7710188363995716,5.7125229929050466e-06,1.0,0.9817351598173516,0.7710188363995716,0.19942695965365947,0.8763769981084616
Modularity,Multi threading,3,0,2,215,220,5,3,0.22755841388363107,4.686750172980514,0.7710188363995716,5.7125229929050466e-06,1.0,0.9817351598173516,0.7710188363995716,0.19942695965365947,0.8763769981084616
Modularity,Event documentation,3,0,2,215,220,5,3,0.22755841388363107,4.686750172980514,0.7710188363995716,5.7125229929050466e-06,1.0,0.9817351598173516,0.7710188363995716,0.19942695965365947,0.8763769981084616
Modularity,Lazy loading,3,0,2,215,220,5,3,0.22755841388363107,4.686750172980514,0.7710188363995716,5.7125229929050466e-06,1.0,0.9817351598173516,0.7710188363995716,0.19942695965365947,0.8763769981084616
Capacity,Frame rate reduction,3,1,21,195,220,24,4,0.47962067632936145,2.043073897508961,0.27976190476190477,0.004289183392995415,0.7892084613987285,0.7704918032786885,0.27976190476190477,0.198771382283035,0.41443455650051303
Functional correctness,Quantization,32,10,87,91,220,119,42,0.9910231146926635,0.4439417161538597,0.21542044753982387,0.001740612245188419,0.9197659885153125,0.21839572192513368,0.21542044753982387,0.19771374834953248,0.19950467897093152
Reusability,Separation of configuration and code,3,0,1,216,220,4,3,0.206212993639731,5.37989735354046,0.8640276493271748,2.285009197162019e-06,1.0,0.9908256880733946,0.8640276493271748,0.1912474297340087,0.9274266687002847
Reusability,Event documentation,3,0,1,216,220,4,3,0.206212993639731,5.37989735354046,0.8640276493271748,2.285009197162019e-06,1.0,0.9908256880733946,0.8640276493271748,0.1912474297340087,0.9274266687002847
Reusability,Multi threading,3,0,1,216,220,4,3,0.206212993639731,5.37989735354046,0.8640276493271748,2.285009197162019e-06,1.0,0.9908256880733946,0.8640276493271748,0.1912474297340087,0.9274266687002847
Availability,State serialization,3,0,1,216,220,4,3,0.206212993639731,5.37989735354046,0.8640276493271748,2.285009197162019e-06,1.0,0.9908256880733946,0.8640276493271748,0.1912474297340087,0.9274266687002847
Reusability,Lazy loading,3,0,1,216,220,4,3,0.206212993639731,5.37989735354046,0.8640276493271748,2.285009197162019e-06,1.0,0.9908256880733946,0.8640276493271748,0.1912474297340087,0.9274266687002847
Reusability,Metric documentation,3,0,1,216,220,4,3,0.206212993639731,5.37989735354046,0.8640276493271748,2.285009197162019e-06,1.0,0.9908256880733946,0.8640276493271748,0.1912474297340087,0.9274266687002847
Reusability,Separation of concerns,3,0,1,216,220,4,3,0.206212993639731,5.37989735354046,0.8640276493271748,2.285009197162019e-06,1.0,0.9908256880733946,0.8640276493271748,0.1912474297340087,0.9274266687002847
Reusability,State serialization,3,0,1,216,220,4,3,0.206212993639731,5.37989735354046,0.8640276493271748,2.285009197162019e-06,1.0,0.9908256880733946,0.8640276493271748,0.1912474297340087,0.9274266687002847
Availability,Separation of configuration and code,3,0,1,216,220,4,3,0.206212993639731,5.37989735354046,0.8640276493271748,2.285009197162019e-06,1.0,0.9908256880733946,0.8640276493271748,0.1912474297340087,0.9274266687002847
Availability,Separation of concerns,3,0,1,216,220,4,3,0.206212993639731,5.37989735354046,0.8640276493271748,2.285009197162019e-06,1.0,0.9908256880733946,0.8640276493271748,0.1912474297340087,0.9274266687002847
Availability,Metric documentation,3,0,1,216,220,4,3,0.206212993639731,5.37989735354046,0.8640276493271748,2.285009197162019e-06,1.0,0.9908256880733946,0.8640276493271748,0.1912474297340087,0.9274266687002847
Availability,Multi threading,3,0,1,216,220,4,3,0.206212993639731,5.37989735354046,0.8640276493271748,2.285009197162019e-06,1.0,0.9908256880733946,0.8640276493271748,0.1912474297340087,0.9274266687002847
Availability,Event documentation,3,0,1,216,220,4,3,0.206212993639731,5.37989735354046,0.8640276493271748,2.285009197162019e-06,1.0,0.9908256880733946,0.8640276493271748,0.1912474297340087,0.9274266687002847
Availability,Lazy loading,3,0,1,216,220,4,3,0.206212993639731,5.37989735354046,0.8640276493271748,2.285009197162019e-06,1.0,0.9908256880733946,0.8640276493271748,0.1912474297340087,0.9274266687002847
Performance Efficiency,Closed-loop learning,3,3,14,200,220,17,6,0.48997744524106257,2.033771504846648,0.2650813705915896,0.0066947264919938925,0.7247557203544499,0.768595041322314,0.2650813705915896,0.18353646007564284,0.3745814462650322
Availability,Quantization,3,39,1,177,220,4,42,0.5785688077344482,2.5427262206768266,0.19358583905394178,0.022696038125747005,0.5480166492218974,0.8541666666666666,0.19358583905394178,0.1661030018952425,0.2870929086994274
Capacity,Feature encoding,3,2,21,194,220,24,5,0.5182339919776623,1.815289966638249,0.24013522531209486,0.009945932505496616,0.6674514974258385,0.72,0.24013522531209486,0.16605349285290585,0.3204218469329263
Interoperability,Light communication protocol usage,2,0,6,212,220,8,2,0.2340716616353513,3.592735593561034,0.49307125859762485,0.00116230801162308,0.978226256218708,0.9464285714285714,0.49307125859762485,0.16480476935768634,0.7040782647769962
Interoperability,System documentation provisioning,2,0,6,212,220,8,2,0.2340716616353513,3.592735593561034,0.49307125859762485,0.00116230801162308,0.978226256218708,0.9464285714285714,0.49307125859762485,0.16480476935768634,0.7040782647769962
Interoperability,Error documentation,2,0,6,212,220,8,2,0.2340716616353513,3.592735593561034,0.49307125859762485,0.00116230801162308,0.978226256218708,0.9464285714285714,0.49307125859762485,0.16480476935768634,0.7040782647769962
Functional completeness,Input resolution adjustment,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Maintainability,Input resolution adjustment,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Maintainability,Network combination,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Functional completeness,Containerization,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Functional appropriateness,Normalization,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Functional appropriateness,Feature encoding,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Functional completeness,Network combination,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Functional completeness,Deployment pipeline creation,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Functional appropriateness,Input resolution adjustment,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Adaptability,Deployment pipeline creation,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Adaptability,Containerization,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Functional suitability,Normalization,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Adaptability,Network combination,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Maintainability,Modular system design,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Maintainability,Deployment pipeline creation,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Functional suitability,Input resolution adjustment,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Functional suitability,Deployment pipeline creation,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Operability,Modular system design,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Transparancy,Feature encoding,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Transparancy,Normalization,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Explainability,Input resolution adjustment,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Explainability,Normalization,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Explainability,Feature encoding,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Functional suitability,Network combination,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Explainability,Modular system design,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Installability,Modular system design,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Adaptability,Input resolution adjustment,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Adaptability,Normalization,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Adaptability,Feature encoding,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Functional suitability,Containerization,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Maintainability,Containerization,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Maintainability,Feature encoding,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Maintainability,Normalization,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Functional suitability,Feature encoding,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Functional appropriateness,Deployment pipeline creation,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Functional completeness,Normalization,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Functional appropriateness,Network combination,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Functional completeness,Feature encoding,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Functional appropriateness,Containerization,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Explainability,Deployment pipeline creation,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Transparancy,Deployment pipeline creation,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Transparancy,Input resolution adjustment,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Explainability,Network combination,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Transparancy,Network combination,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Lightweight,Modular system design,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Transparancy,Containerization,2,3,1,214,220,3,5,0.22755841388363107,4.454347296253507,0.5080356673950666,0.00123390496646749,0.9695727625774516,0.9770114942528736,0.5080356673950666,0.16382627443958606,0.7199306395383983
Indenpendency/Autonomy,Queue with data limitation,2,0,5,213,220,7,2,0.22076594753891132,3.7750571503549883,0.5283570816850195,0.0008717310087173101,1.0,0.9551569506726457,0.5283570816850195,0.16375469052035554,0.7417570161788326
Indenpendency/Autonomy,External dependency reduction,2,0,5,213,220,7,2,0.22076594753891132,3.7750571503549883,0.5283570816850195,0.0008717310087173101,1.0,0.9551569506726457,0.5283570816850195,0.16375469052035554,0.7417570161788326
Indenpendency/Autonomy,Background queue,2,0,5,213,220,7,2,0.22076594753891132,3.7750571503549883,0.5283570816850195,0.0008717310087173101,1.0,0.9551569506726457,0.5283570816850195,0.16375469052035554,0.7417570161788326
